index,image_id,max_rating,mean_score,std_score,count_rating_1,count_rating_2,count_rating_3,count_rating_4,count_rating_5,count_rating_6,count_rating_7,count_rating_8,count_rating_9,count_rating_10,tag_1,tag_2,challange_id
29,953621,5,5.859,3.789,0,1,5,5,39,48,18,7,2,3,7,16,1396
30,953348,4,5.163,2.804,0,0,9,16,62,23,10,2,0,1,0,0,1396
31,953283,5,6.756,3.367,0,0,0,4,19,41,33,21,14,3,0,0,1396
32,953092,5,5.879,2.991,0,0,1,5,43,51,13,6,4,1,27,50,1396
33,953751,5,6.103,3.728,0,0,1,16,25,44,18,14,5,3,15,53,1396
34,954112,4,5.645,3.266,0,1,2,10,47,40,12,5,4,0,10,15,1396
35,954117,5,5.848,3.258,0,0,2,11,38,54,15,6,5,1,0,0,1396
36,954116,5,5.542,4.012,0,2,5,15,43,50,6,3,4,3,20,64,1396
37,953821,5,6.076,3.394,0,0,3,5,33,56,17,11,5,2,21,50,1396
38,954105,5,6.023,3.914,0,1,2,11,30,47,25,4,4,5,21,0,1396
39,953019,4,4.366,5.529,12,8,18,23,33,14,10,2,2,1,12,47,1396
40,953780,4,5.042,3.352,0,2,5,27,54,24,3,3,1,1,0,0,1396
41,954186,4,5.41,2.667,0,0,6,7,57,41,7,2,2,0,65,0,1396
42,954119,5,5.689,3.889,0,2,3,13,41,47,17,4,2,3,0,0,1396
43,954063,4,5.562,3.603,0,1,4,13,48,43,14,3,3,1,19,0,1396
44,954121,5,6.115,3.614,0,0,2,7,37,42,23,11,5,3,20,35,1396
45,954066,4,5.13,3.974,1,2,7,29,45,32,11,1,2,1,1,38,1396
46,954125,4,5.088,3.535,0,2,8,24,53,28,6,1,1,2,14,15,1396
47,954067,5,6.785,3.659,0,0,1,3,13,50,31,21,9,7,0,0,1396
48,953582,5,5.944,3.562,0,0,4,10,28,52,16,7,5,2,0,0,1396
49,954013,5,6.75,3.883,0,0,1,5,18,39,31,22,9,7,2,14,1396
50,954069,4,5.098,3.281,1,1,5,23,57,22,11,1,0,1,2,12,1396
51,954071,4,5.456,2.729,0,0,6,12,46,45,13,2,1,0,17,0,1396
52,954225,4,5.562,3.097,0,0,1,16,51,43,8,6,2,1,20,0,1396
53,954124,5,6.105,3.399,0,0,3,6,28,57,25,7,4,3,15,22,1396
54,954218,5,5.605,3.639,0,0,7,12,40,46,10,3,4,2,15,19,1396
55,953577,5,5.616,3.115,0,0,2,15,43,44,14,5,1,1,10,0,1396
56,953985,5,5.687,4.086,1,2,3,12,36,55,14,8,2,1,7,15,1396
57,954141,5,5.71,3.72,0,1,4,12,36,44,19,4,3,1,0,0,1396
58,954118,5,6.235,3.569,0,1,1,3,30,53,24,11,8,1,14,27,1396
59,953901,5,5.984,3.806,0,1,3,9,33,41,27,8,1,4,3,28,1396
60,953794,4,5.19,3.172,0,0,5,30,48,30,9,1,2,1,15,65,1396
61,953853,4,5.333,3.128,1,0,6,13,52,37,11,1,2,0,0,0,1396
62,953757,5,5.938,3.707,0,2,3,15,24,44,26,11,5,0,26,0,1396
63,954130,4,5.59,4.43,1,0,6,23,33,29,16,7,6,1,14,0,1396
64,953994,4,5.256,2.903,0,0,4,19,61,29,9,1,1,1,21,0,1396
65,954180,5,5.585,3.067,0,0,3,14,35,51,10,3,1,1,7,28,1396
66,954014,4,4.966,3.547,0,3,7,26,57,19,2,1,1,3,21,38,1396
67,954092,5,6.485,3.655,0,0,3,1,26,42,30,18,6,4,0,0,1396
68,954226,3,4.099,4.404,9,11,24,28,28,11,5,5,0,0,51,65,1396
69,953946,5,5.928,2.898,0,0,4,4,34,56,14,8,5,0,0,0,1396
70,953334,4,5.175,2.548,0,2,5,14,63,34,7,0,1,0,61,0,1396
71,953126,5,5.574,3.427,0,3,4,9,45,46,14,6,2,0,0,0,1396
72,953245,4,4.685,3.504,1,3,13,31,54,18,2,0,1,1,10,39,1396
73,954122,4,5.258,2.988,0,0,8,21,51,33,10,3,2,0,0,0,1396
74,954227,5,5.786,3.366,0,0,2,13,39,46,14,7,4,1,0,0,1396
75,953097,6,7.389,3.663,0,0,0,3,10,24,33,32,15,14,5,19,1396
76,953965,4,5.262,3.192,0,1,3,26,51,33,5,3,4,0,38,0,1396
77,954002,5,6.442,4.05,0,1,3,5,16,45,32,20,4,3,14,38,1396
78,953327,4,5.444,3.474,0,1,3,17,48,42,9,3,2,1,20,62,1396
79,954052,5,6.07,3.316,0,0,1,8,34,48,24,8,2,4,22,65,1396
80,954224,5,6.208,3.797,0,2,0,8,27,47,26,11,6,3,0,0,1396
81,953863,5,6.123,3.622,0,0,2,11,29,44,24,13,5,2,19,0,1396
82,953918,4,5.408,2.773,0,0,2,15,60,35,8,3,0,2,15,0,1396
83,953933,4,5.163,3.102,0,0,9,19,63,25,9,2,1,1,15,19,1396
84,953630,4,5.282,2.815,0,1,6,13,52,45,4,2,1,0,20,61,1396
85,953004,4,4.742,3.083,0,4,9,34,54,18,2,2,1,0,15,28,1396
86,953935,4,5.703,3.335,0,3,0,14,44,37,20,4,6,0,24,39,1396
87,954219,5,5.73,3.613,0,1,4,6,42,47,12,6,3,1,9,18,1396
88,953977,4,5.528,3.426,0,1,2,14,50,43,11,3,1,2,10,21,1396
89,954048,4,5.28,3.756,0,2,9,23,40,33,10,3,5,0,0,0,1396
90,954183,4,5.374,3.092,0,0,2,22,49,37,8,2,2,1,15,57,1396
91,953715,4,4.729,3.814,3,4,10,37,46,25,5,2,1,0,1,51,1396
92,953955,5,5.532,3.071,0,0,5,15,37,49,15,1,1,1,15,19,1396
93,953785,6,6.729,3.981,0,0,1,6,20,32,38,15,7,10,5,0,1396
94,954012,4,5.43,3.786,0,2,5,15,52,33,14,4,2,1,0,0,1396
95,953856,4,4.894,5.091,5,9,10,21,44,24,12,3,3,1,0,0,1396
96,954127,5,6.242,3.587,0,0,3,3,33,44,30,10,6,3,0,0,1396
97,954206,4,5.27,3.276,0,0,8,17,53,31,7,4,1,1,5,0,1396
98,954055,4,5.699,3.614,0,0,4,15,39,37,18,6,2,2,14,0,1396
99,953981,3,4.714,5.227,3,6,20,32,31,18,7,5,1,3,1,21,1396
100,954007,5,5.961,3.271,0,0,3,5,40,49,18,7,6,1,17,0,1396
101,954216,4,5.72,3.64,0,1,2,10,50,43,17,4,2,3,20,21,1396
102,953824,5,6.488,3.886,0,1,0,5,22,42,29,12,5,7,0,0,1396
103,954176,5,5.492,4.233,1,1,7,17,33,46,13,5,2,1,0,0,1396
104,953123,5,6.347,4.455,0,0,3,16,21,30,24,14,11,5,0,0,1396
105,954133,4,4.983,2.276,1,0,9,22,51,32,5,0,0,0,21,0,1396
106,953934,4,5.19,5.07,2,4,9,26,33,23,14,6,2,2,21,51,1396
107,953560,4,5.32,3.129,0,1,4,15,54,42,6,1,1,1,0,0,1396
108,953979,5,6.866,3.61,0,0,0,3,21,34,30,20,9,10,2,40,1396
109,954179,5,5.674,2.974,0,1,2,10,42,53,16,1,4,0,16,21,1396
110,954126,5,5.625,3.294,0,0,5,9,46,50,11,3,2,2,22,38,1396
111,953802,5,6.031,3.726,0,1,2,8,30,48,25,7,3,3,19,0,1396
112,954217,5,5.754,4.091,0,2,2,15,37,42,15,7,3,3,0,0,1396
113,954131,4,5.293,2.949,0,1,6,19,46,38,10,0,3,0,8,14,1396
114,953356,4,5.492,3.723,0,2,4,16,43,40,16,2,1,2,15,53,1396
115,954169,5,6.451,4.616,1,1,2,3,19,55,27,10,7,8,28,0,1396
116,954200,4,4.944,2.484,0,0,8,29,61,19,6,1,1,0,0,0,1396
117,954220,4,5.112,2.91,0,1,9,22,48,36,7,1,1,0,14,0,1396
118,954143,4,5.43,3.644,1,0,5,17,46,42,10,5,1,1,24,50,1396
119,954123,4,5.548,3.29,0,0,3,13,56,32,15,4,1,2,19,27,1396
120,953113,5,6.162,3.151,0,0,1,2,38,47,27,9,3,3,7,14,1396
121,954223,4,5.383,2.639,0,0,3,20,52,44,10,3,1,0,14,27,1396
122,954043,4,5.354,3.046,0,2,3,16,50,45,7,2,2,0,0,0,1396
123,954022,4,5.452,3.777,0,1,6,14,47,41,8,2,3,2,22,65,1396
124,953730,5,6.151,3.553,0,0,3,4,32,48,20,12,4,3,57,0,1396
125,954212,5,6.225,3.609,0,0,4,5,20,61,23,7,2,7,0,0,1396
126,953945,5,6.032,3.473,0,0,3,7,33,43,25,6,5,2,0,0,1396
127,954096,4,4.898,4.854,3,6,13,25,40,27,8,1,3,2,0,0,1396
128,954076,5,6.523,3.376,0,0,0,5,23,39,39,10,7,5,0,0,1396
129,954178,5,6.024,3.207,0,0,2,5,38,41,26,6,5,1,0,0,1396
130,954196,5,6.3,3.801,0,2,1,6,22,43,35,17,1,3,15,21,1396
131,953961,5,6.62,3.482,0,0,1,4,13,47,39,14,7,4,0,0,1396
132,954214,5,5.798,3.02,0,0,3,4,43,52,16,1,3,2,7,35,1396
133,954203,4,5.472,4.075,2,0,5,19,38,38,16,3,3,1,0,0,1396
134,954198,5,5.953,3.445,0,2,1,5,35,49,26,5,2,2,18,21,1396
135,954011,5,5.793,3.325,0,0,1,11,42,43,15,3,3,3,57,0,1396
136,953816,6,7.312,3.439,0,0,0,1,10,30,32,29,14,12,14,0,1396
137,954191,4,5.496,4.198,1,1,6,16,42,35,19,4,2,1,15,0,1396
138,954188,5,7.152,3.526,0,0,2,0,9,35,29,28,14,8,5,57,1396
139,953923,4,5.274,2.728,0,0,3,21,61,24,11,1,3,0,0,0,1396
140,953089,5,5.888,3.192,0,0,2,8,40,44,18,10,2,1,0,0,1396
141,953401,5,5.771,3.84,0,1,3,15,35,47,20,4,4,2,15,19,1396
142,771289,4,5.579,3.778,1,2,3,13,66,58,18,7,2,1,14,53,1004
143,770869,5,5.825,4.224,1,2,3,15,46,58,22,11,7,1,0,0,1004
144,770556,4,5.567,3.404,0,2,4,19,65,46,25,6,4,0,44,62,1004
145,770300,4,5.982,3.226,0,0,4,12,50,44,36,10,9,0,20,45,1004
146,771576,4,5.494,2.915,0,1,4,15,65,61,15,4,0,1,11,22,1004
147,770637,5,5.876,3.225,0,0,4,12,50,61,26,14,1,2,20,0,1004
148,771245,4,5.056,2.436,0,0,6,35,76,35,5,2,0,1,20,45,1004
149,771518,5,6.047,3.243,0,0,1,12,50,59,21,21,6,1,22,0,1004
150,771439,4,5.402,2.551,0,0,5,22,69,49,22,1,1,0,18,0,1004
151,771182,5,6.228,3.706,0,1,1,7,37,64,31,16,7,3,0,0,1004
152,771082,4,5.248,3.299,0,1,6,35,64,39,14,3,0,3,20,0,1004
153,770779,4,5.436,3.44,0,1,6,20,65,48,18,1,1,3,0,0,1004
154,771609,5,6.444,3.758,0,0,1,7,36,55,43,11,8,10,0,0,1004
155,771252,5,5.667,3.208,0,0,4,18,54,55,25,6,2,1,0,0,1004
156,771392,4,4.95,4.564,5,3,15,31,56,31,10,6,2,1,14,0,1004
157,771538,4,5.76,3.607,0,2,2,11,64,58,16,12,5,1,18,0,1004
158,771530,5,5.839,3.661,0,1,1,16,51,55,19,12,3,3,11,20,1004
159,771628,4,5.342,2.756,0,0,6,27,60,47,17,3,1,0,0,0,1004
160,771109,4,5.46,3.445,1,0,4,19,69,44,20,3,2,1,0,0,1004
161,771346,5,5.831,3.131,0,0,1,13,56,59,25,6,4,2,11,18,1004
162,771355,4,5.65,2.905,0,0,3,14,65,51,18,9,3,0,20,45,1004
163,771541,5,5.86,3.836,1,1,1,13,52,62,26,10,4,2,29,31,1004
164,771257,3,3.463,4.305,26,18,34,48,27,8,0,0,1,2,19,0,1004
165,771637,4,5.964,3.162,0,0,3,10,51,50,34,15,2,1,20,53,1004
166,770394,4,5.671,2.779,0,0,1,18,60,53,23,5,4,0,0,0,1004
167,770632,5,5.988,3.21,0,0,1,13,48,62,32,9,3,4,18,39,1004
168,771582,4,4.787,3.274,1,1,9,49,79,17,5,1,1,1,0,0,1004
169,771269,4,5.131,2.766,0,2,4,29,79,32,11,2,1,0,18,22,1004
170,770911,5,6.17,3.899,1,1,3,7,43,48,41,18,9,0,20,0,1004
171,771351,5,5.929,3.377,0,0,4,15,37,71,27,7,6,2,18,0,1004
172,771268,5,5.794,2.835,0,0,2,13,55,59,22,11,3,0,8,45,1004
173,771596,5,6.476,3.849,0,1,1,4,35,53,36,29,7,4,0,0,1004
174,771123,4,5.2,2.81,0,0,8,28,77,35,11,5,0,1,10,21,1004
175,770826,5,5.877,3.85,0,1,6,9,50,52,27,10,5,2,21,22,1004
176,771583,5,6.473,3.282,0,0,0,4,32,67,32,19,10,5,6,21,1004
177,771189,4,4.72,2.517,0,1,15,45,77,15,7,0,1,0,0,0,1004
178,770891,4,5.554,4.156,0,2,5,28,56,40,17,12,4,2,20,0,1004
179,771084,4,5.201,3.412,0,3,8,26,71,45,11,3,1,1,22,0,1004
180,771436,4,5.187,2.656,0,0,6,29,84,29,12,5,1,0,0,0,1004
181,771430,5,6.137,3.097,0,1,0,8,42,58,38,18,1,2,0,0,1004
182,771603,4,4.897,3.134,1,2,10,38,74,34,4,0,1,1,0,0,1004
183,771522,4,5.268,2.817,0,0,5,32,68,40,13,4,2,0,11,45,1004
184,771213,6,6.673,4.317,1,0,1,7,27,45,49,18,13,10,0,0,1004
185,771648,4,4.982,2.591,0,1,10,29,90,28,4,3,1,0,0,0,1004
186,770992,5,6.254,3.355,0,0,4,2,41,61,42,12,9,2,14,20,1004
187,771647,4,4.604,3.196,1,5,18,48,65,19,5,3,0,0,22,0,1004
188,770696,4,5.073,4.663,2,7,12,31,58,33,10,6,5,1,0,0,1004
189,770993,5,5.785,3.48,0,0,5,13,50,64,15,9,5,2,0,0,1004
190,771309,4,5.218,3.383,0,1,10,21,81,34,12,3,2,1,0,0,1004
191,771520,4,4.854,3.903,3,4,11,45,57,28,11,4,0,1,0,0,1004
192,770642,3,4.379,2.951,0,13,17,55,55,15,5,1,0,0,11,45,1004
193,771571,4,5.86,3.896,1,1,3,9,64,51,29,15,4,1,20,53,1004
194,771529,4,5.262,3.549,0,1,8,28,75,35,11,7,2,1,0,0,1004
195,771185,4,5.247,4.407,3,2,10,31,57,32,12,7,8,0,14,0,1004
196,770897,6,6.931,4.023,0,0,1,6,27,39,41,29,16,14,0,0,1004
197,771047,4,4.855,3.023,0,2,12,44,73,24,6,3,0,1,20,48,1004
198,770684,4,5.127,2.959,0,2,6,30,69,38,8,2,2,0,20,45,1004
199,771443,4,4.805,3.348,0,1,16,47,71,16,9,1,2,1,21,45,1004
200,770185,3,4.436,4.777,3,15,18,58,38,13,12,3,2,1,2,0,1004
7060,1380,4,4.216,4.548,5,23,45,44,50,20,10,5,2,0,0,0,14
7063,1404,6,6.943,5.548,3,1,4,13,28,29,46,38,28,19,0,0,14
7064,1399,4,5.204,6.509,10,11,28,29,38,35,12,19,12,7,30,31,14
7065,1410,3,4.792,5.55,4,20,26,45,45,31,19,10,4,3,0,0,14
7067,1396,3,4.43,5.73,10,16,38,53,35,19,12,11,3,3,0,0,14
7070,1403,4,5.06,5.981,9,15,20,31,45,31,25,12,8,3,0,0,14
7071,1415,4,5.926,5.639,1,5,13,29,45,30,42,14,14,10,0,0,14
7073,1408,2,3.885,6.136,27,34,40,34,34,12,14,7,5,2,0,0,14
7076,1391,7,6.471,6.426,4,5,10,23,22,36,29,37,21,17,0,0,14
7077,1385,2,4.812,5.987,6,19,39,25,39,35,21,7,7,4,0,0,14
7080,1384,5,6.888,5.208,1,1,8,5,25,51,39,36,20,20,5,19,14
7086,1389,4,6.25,6.618,5,6,14,20,34,31,29,27,19,19,0,0,14
7087,1394,7,6.565,5.713,1,2,9,21,34,30,35,41,20,14,31,0,14
7088,1406,4,4.668,6.325,13,25,25,29,39,29,22,7,4,6,0,0,14
7091,1417,3,4.567,5.6,3,30,31,38,37,31,18,6,5,2,0,0,14
7092,1419,4,4.881,5.585,4,15,30,39,48,26,18,12,7,2,0,0,14
7094,1361,3,3.751,4.533,12,40,44,47,32,17,11,1,0,1,0,0,14
7098,1402,4,5.313,6.097,7,7,25,33,39,36,23,17,8,6,0,0,14
7101,1363,4,5.573,6.215,5,8,17,34,38,31,33,14,8,11,0,0,14
7102,1407,4,5.131,4.927,1,9,22,39,53,32,25,12,3,2,0,0,14
7110,1409,2,3.888,4.67,17,20,52,51,31,20,9,4,0,1,0,0,14
7113,1411,5,5.262,5.504,4,9,23,38,37,45,24,20,2,4,0,0,14
7114,1367,4,5.414,6.233,4,13,23,33,37,27,30,17,15,4,1,0,14
7115,1377,4,5.392,5.389,2,10,15,34,54,34,29,17,6,3,0,0,14
7116,1359,4,5.216,4.725,2,7,14,46,56,33,28,15,2,1,0,0,14
7117,1393,5,6.263,6.021,5,4,9,22,28,39,36,38,14,10,0,0,14
7122,1400,4,6.059,6.537,3,9,19,22,33,30,31,23,16,18,0,0,14
7124,1401,5,5.689,5.44,0,7,27,28,33,37,36,21,12,5,0,0,14
7127,1378,3,4.191,4.7,8,22,40,53,41,25,8,5,0,2,0,0,14
7128,1368,4,5.647,6.627,8,16,14,18,43,28,32,25,9,11,0,0,14
7129,1364,4,5.199,4.59,0,11,17,44,54,44,22,12,6,1,0,0,14
11003,136950,5,6.0,3.922,1,0,6,15,46,55,33,22,6,1,2,21,299
11004,136762,5,6.23,4.867,2,2,5,8,38,55,36,22,11,4,2,20,299
11005,137123,5,6.497,3.947,0,0,2,10,35,52,45,23,10,8,1,20,299
11006,135045,5,6.548,4.224,0,1,4,8,22,65,38,31,12,5,20,21,299
11007,137085,5,6.639,3.932,0,1,1,9,21,52,51,28,14,3,1,20,299
11008,137231,4,5.571,3.347,0,1,5,15,74,57,18,10,1,1,18,20,299
11009,137193,4,4.865,3.137,1,3,10,48,81,33,6,1,2,0,20,0,299
11010,136656,5,5.872,4.09,1,0,7,15,50,54,32,12,5,3,20,34,299
11011,135736,3,3.705,3.394,9,24,40,62,39,6,2,1,0,0,0,0,299
11012,137093,4,4.652,3.808,2,6,21,53,63,19,13,3,1,0,20,0,299
11013,137105,5,6.236,3.96,0,1,2,8,43,59,38,13,9,5,0,0,299
11014,136729,3,4.214,3.151,3,13,21,73,55,13,2,2,0,0,11,20,299
11015,136917,5,6.177,3.505,0,0,3,10,42,66,38,18,6,3,20,0,299
11016,136327,4,5.919,4.326,1,2,2,16,57,53,30,15,7,3,14,20,299
11017,136778,4,5.179,3.863,0,3,17,25,76,43,8,7,4,1,14,20,299
11018,137166,5,5.792,3.343,0,0,5,10,58,65,22,7,3,3,2,20,299
11019,136918,4,5.576,4.332,1,1,8,22,58,51,21,9,3,3,0,0,299
11020,137120,4,5.073,3.116,0,4,9,39,67,43,13,3,1,0,20,0,299
11021,137190,5,5.729,3.728,0,0,8,22,48,57,24,12,4,2,2,20,299
11022,136875,5,6.0,4.328,1,5,3,11,40,48,39,22,3,1,0,0,299
11023,136732,4,4.867,4.739,2,9,22,42,51,28,16,8,2,1,1,20,299
11024,136058,4,5.081,3.466,1,1,12,34,79,44,9,3,1,1,20,27,299
11025,135758,5,5.842,4.413,2,2,4,12,52,56,30,11,6,2,1,20,299
11026,137131,5,6.674,3.657,0,0,1,7,26,53,46,29,15,4,20,0,299
11027,136247,5,5.984,2.993,0,0,1,14,48,69,34,13,4,1,10,20,299
11028,137132,5,5.735,3.796,0,3,5,20,48,70,26,13,3,1,2,20,299
11029,136774,4,5.823,3.652,0,1,3,13,68,53,31,10,5,2,2,20,299
11030,136609,4,4.72,3.042,2,1,15,63,65,32,6,0,2,0,14,15,299
11031,136768,4,4.943,3.006,1,1,8,46,73,38,5,2,0,1,0,0,299
11032,137080,3,4.431,3.559,1,8,25,65,53,23,4,0,1,1,14,18,299
11033,136467,4,4.865,3.699,2,2,14,47,68,31,11,1,1,1,20,21,299
11034,137020,4,5.733,3.669,0,2,4,13,69,48,25,16,2,1,14,20,299
11035,137168,4,5.701,3.01,0,1,2,13,70,61,27,6,4,0,12,20,299
11036,137117,4,5.388,3.673,1,4,5,23,74,43,23,9,1,0,0,0,299
11037,137212,4,6.086,3.665,0,2,1,10,56,48,42,18,7,1,1,20,299
11038,136782,5,6.243,3.221,0,0,0,12,45,51,44,20,7,2,10,20,299
11039,136471,4,5.0,3.614,2,3,10,45,73,34,11,7,0,1,20,21,299
11040,136998,5,5.858,3.436,0,1,2,12,58,66,30,8,4,2,20,0,299
11041,136035,4,5.126,3.44,1,2,6,26,90,37,7,2,2,1,11,20,299
11042,136104,3,4.097,2.844,2,11,29,75,48,8,2,1,0,0,20,0,299
11043,135999,6,6.909,5.154,1,1,4,6,29,36,42,30,19,18,10,14,299
11044,136663,5,6.432,3.574,0,0,1,11,28,66,41,26,8,4,2,20,299
11045,137069,4,5.405,3.459,1,1,5,22,71,47,18,7,0,1,20,28,299
11046,135917,4,5.005,3.402,1,3,10,44,69,43,6,5,2,0,20,0,299
11047,137158,5,6.683,3.851,1,0,0,5,30,52,40,34,12,6,6,20,299
11048,137139,4,5.045,3.3,2,2,8,38,72,43,10,3,1,0,2,20,299
11049,137247,4,5.529,3.429,0,1,4,21,78,58,17,8,3,1,0,0,299
11050,136968,5,6.116,3.644,0,0,7,13,34,67,45,14,6,3,20,46,299
11051,135521,5,6.633,4.347,1,0,2,7,25,58,40,26,12,9,20,21,299
11052,136749,5,6.348,4.517,2,0,4,9,35,55,42,21,9,7,20,21,299
11053,136547,4,5.366,3.418,0,2,6,25,73,54,17,3,2,1,20,0,299
11054,137183,4,5.439,3.207,0,2,1,28,77,54,19,6,1,1,20,0,299
11055,136346,5,5.605,4.179,0,7,5,22,55,60,22,13,5,1,20,21,299
11056,136289,5,5.844,4.083,0,1,8,19,46,54,27,17,5,2,15,20,299
11057,136442,4,5.308,3.49,0,4,4,30,81,44,9,10,0,3,2,0,299
11058,137112,4,5.436,3.367,1,0,3,28,66,57,18,2,3,1,0,0,299
11059,136760,4,5.291,3.283,0,5,5,27,70,48,17,6,1,0,20,41,299
11060,137083,5,6.609,3.784,0,0,3,5,31,51,47,31,11,5,14,20,299
11061,137249,4,5.593,4.284,2,0,7,23,64,48,21,8,6,3,2,20,299
11062,137134,4,5.448,3.057,0,1,5,23,75,50,20,8,1,0,2,10,299
11063,136671,4,5.155,3.554,1,3,7,42,57,54,10,5,2,0,20,0,299
11064,136711,4,5.251,3.89,1,4,4,29,78,50,8,5,2,2,20,0,299
11065,137148,5,6.552,4.249,0,0,4,10,34,47,41,24,14,9,11,20,299
11066,137237,4,5.277,3.438,1,3,6,25,71,49,18,2,2,0,10,20,299
11067,136544,4,4.851,3.012,0,5,9,51,68,29,11,1,1,0,0,0,299
11068,136936,4,5.59,3.893,0,3,3,22,73,47,14,15,5,1,0,0,299
11069,136627,4,4.781,3.617,2,6,10,53,65,29,9,3,1,0,15,20,299
11070,136443,5,5.876,4.716,2,2,5,19,44,60,30,12,6,5,0,0,299
11071,135472,4,5.04,3.987,2,3,9,35,80,31,9,2,3,2,0,0,299
11072,136902,4,5.345,3.013,0,1,2,30,79,37,18,4,3,0,12,20,299
11073,137135,5,6.443,3.531,1,0,0,7,29,66,50,13,15,2,10,20,299
11074,136920,4,5.463,2.996,0,1,4,22,68,55,17,7,1,0,20,0,299
11075,136316,5,5.995,4.059,1,2,4,12,42,65,38,15,6,1,7,20,299
11076,137114,5,5.416,3.363,0,4,7,22,58,59,23,4,0,1,2,20,299
11077,136944,6,7.23,4.404,0,1,2,4,15,39,54,34,22,20,1,20,299
11078,137005,4,5.475,3.908,1,2,2,29,63,56,17,6,4,1,1,20,299
11079,136148,4,5.546,3.477,0,1,3,22,67,51,20,6,3,1,20,0,299
11080,137024,5,5.582,3.598,2,2,3,19,58,62,26,9,1,0,20,0,299
11081,136352,4,5.461,3.468,1,1,5,26,63,52,23,8,1,0,0,0,299
11082,135246,4,5.609,3.34,0,1,2,19,66,63,17,7,3,1,2,20,299
11083,137215,4,4.938,3.422,1,1,13,52,62,31,13,4,0,1,15,20,299
11084,136032,4,5.235,3.447,0,4,9,30,74,49,12,5,4,0,20,23,299
11085,137208,4,5.687,2.765,0,0,3,12,72,57,23,10,2,0,45,0,299
11086,137214,5,6.61,4.648,1,1,1,10,29,49,35,37,13,6,1,21,299
11087,136700,4,5.628,3.828,0,2,8,11,68,56,24,5,3,3,20,0,299
11088,137220,4,4.695,2.981,2,4,11,56,67,31,5,1,0,0,20,0,299
11089,135428,4,5.235,3.982,1,4,5,40,63,44,16,8,1,1,10,20,299
11090,136122,4,5.051,3.668,0,5,11,46,52,45,15,1,1,2,0,0,299
11091,137003,5,5.437,3.96,0,4,6,29,53,55,18,6,4,1,20,27,299
11092,137223,5,5.74,3.823,1,1,4,11,56,64,24,7,4,1,20,0,299
11093,136796,5,5.686,3.303,0,2,4,16,53,64,25,8,3,0,20,21,299
11094,137153,4,5.41,3.796,2,2,2,27,68,58,13,9,1,1,12,20,299
11095,137060,4,5.922,4.904,1,2,7,19,49,44,24,21,7,5,21,23,299
11096,136638,4,5.427,3.991,3,3,4,26,62,55,20,9,3,0,1,20,299
11097,135181,3,4.43,3.073,2,6,21,64,63,17,5,1,0,0,2,20,299
11098,135448,4,4.622,4.86,4,10,29,43,45,31,10,5,2,1,1,29,299
11099,137078,4,5.255,3.763,1,3,4,32,78,43,17,3,1,2,2,20,299
